id,sql_prompt,sql_context,sql,korean_text
5097,"What is the total volume of timber sold by each salesperson, sorted by salesperson?","CREATE TABLE salesperson (salesperson_id INT, name TEXT, region TEXT); INSERT INTO salesperson (salesperson_id, name, region) VALUES (1, 'John Doe', 'North'), (2, 'Jane Smith', 'South'); CREATE TABLE timber_sales (sales_id INT, salesperson_id INT, volume REAL, sale_date DATE); INSERT INTO timber_sales (sales_id, salesperson_id, volume, sale_date) VALUES (1, 1, 120, '2021-01-01'), (2, 1, 150, '2021-02-01'), (3, 2, 180, '2021-01-01');","SELECT salesperson_id, name, SUM(volume) as total_volume FROM timber_sales JOIN salesperson ON timber_sales.salesperson_id = salesperson.salesperson_id GROUP BY salesperson_id, name ORDER BY total_volume DESC;","각 판매원이 판매한 목재의 총량은 얼마이며, 판매원에 따라 정렬되어 있나요?"
5098,List all the unique equipment types and their corresponding total maintenance frequency from the equipment_maintenance table.,"CREATE TABLE equipment_maintenance (equipment_type VARCHAR(255), maintenance_frequency INT);","SELECT equipment_type, SUM(maintenance_frequency) AS total_maintenance_frequency FROM equipment_maintenance GROUP BY equipment_type;",장비 유형과 해당 장비의 전체 유지 보수 빈도를 equipment_maintenance 테이블에서 나열하세요.
5099,How many marine species are found in the Southern Ocean?,"CREATE TABLE marine_species (name VARCHAR(50), common_name VARCHAR(50), location VARCHAR(50));",SELECT COUNT(*) FROM marine_species WHERE location = 'Southern Ocean';,남극해에서 발견되는 해양 생물의 수는 얼마인가요?
5100,What is the total trade value and average price for each trader and stock in the trade_history table?,"CREATE TABLE trade_history (id INT, trader_id INT, stock VARCHAR(255), price DECIMAL(5,2), quantity INT, trade_time TIMESTAMP);","SELECT trader_id, stock, SUM(price * quantity) as total_trade_value, AVG(price) as avg_price FROM trade_history GROUP BY trader_id, stock;",trade_history 테이블에서 각 트레이더와 주식의 총 거래 가액과 평균 가격은 얼마인가요?
5101,Find the energy efficiency upgrades with the highest cost and their types.,"CREATE TABLE upgrades (id INT, cost FLOAT, type TEXT); INSERT INTO upgrades (id, cost, type) VALUES (1, 500, 'Insulation'), (2, 1000, 'HVAC'), (3, 1500, 'Lighting');","SELECT type, cost FROM (SELECT type, cost, ROW_NUMBER() OVER (ORDER BY cost DESC) as rn FROM upgrades) sub WHERE rn = 1;",가장 높은 비용을 가진 에너지 효율성 업그레이드와 그 유형을 찾아라.
5102,What is the total spending on humanitarian assistance by the European Union in the last 3 years?,"CREATE SCHEMA if not exists defense; CREATE TABLE if not exists eu_humanitarian_assistance (id INT PRIMARY KEY, year INT, spending INT); INSERT INTO defense.eu_humanitarian_assistance (id, year, spending) VALUES (1, 2019, 1500), (2, 2020, 1800), (3, 2021, 2100);",SELECT SUM(spending) FROM defense.eu_humanitarian_assistance WHERE year BETWEEN 2019 AND 2021;,유럽 연합의 지난 3년 동안 인도적 지원에 대한 총 지출은 얼마인가요?
5103,What is the average water temperature for each fish species in February?,"CREATE TABLE SpeciesWaterTemp (SpeciesID int, Date date, WaterTemp float); INSERT INTO SpeciesWaterTemp (SpeciesID, Date, WaterTemp) VALUES (1, '2022-02-01', 12.8), (1, '2022-02-02', 13.1), (2, '2022-02-01', 14.3), (2, '2022-02-02', 14.7);","SELECT SpeciesName, AVG(WaterTemp) as AvgTemp FROM SpeciesWaterTemp INNER JOIN FishSpecies ON SpeciesWaterTemp.SpeciesID = FishSpecies.SpeciesID WHERE MONTH(Date) = 2 GROUP BY SpeciesName;",각 어종의 2월 평균 수온은 얼마입니까?
5104,Delete a program's outcome data,"CREATE TABLE Program_Outcomes (id INT, program_id INT, outcome_type VARCHAR, value INT, outcome_date DATE); INSERT INTO Program_Outcomes (id, program_id, outcome_type, value, outcome_date) VALUES (1, 1001, 'participants', 50, '2021-01-01'), (2, 1002, 'hours_donated', 1000, '2021-01-01');",DELETE FROM Program_Outcomes WHERE program_id = 1002;,프로그램의 성과 데이터를 삭제하다
5105,Find the total fare collected from passengers on 'Green Line' buses,"CREATE TABLE bus_routes (route_name VARCHAR(50), fare FLOAT); INSERT INTO bus_routes (route_name, fare) VALUES ('Green Line', 1.50), ('Red Line', 2.00), ('Blue Line', 1.75);",SELECT SUM(fare) FROM bus_routes WHERE route_name = 'Green Line';,'그린 라인' 버스 승객들로부터 수집된 총 요금을 찾아라.
5106,What is the average property size in inclusive housing areas?,"CREATE TABLE Inclusive_Housing (Property_ID INT, Inclusive VARCHAR(10), Property_Size INT); INSERT INTO Inclusive_Housing (Property_ID, Inclusive, Property_Size) VALUES (1, 'Yes', 900), (2, 'No', 1100), (3, 'Yes', 800), (4, 'No', 1200);",SELECT AVG(Property_Size) FROM Inclusive_Housing WHERE Inclusive = 'Yes';,포괄적 주택 지역의 평균 규모는 얼마인가요?
